date,target_group,value,population
2021-09-04,A,13,19867248
2021-09-04,B,52,5157699
2021-09-04,C,5,648493
2021-09-11,A,13,19867248
2021-09-11,B,35,5157699
2021-09-11,C,5,648493
2021-09-18,A,13,19867248
2021-09-18,B,35,5157699
2021-09-18,C,5,648493
2021-09-25,A,14,19867248
2021-09-25,B,20,5157699
2021-09-25,C,5,648493
2021-10-02,A,13,19867248
2021-10-02,B,12,5157699
2021-10-02,C,5,648493
2021-10-09,A,16,19867248
2021-10-09,B,18,5157699
2021-10-09,C,5,648493
2021-10-16,A,12,19867248
2021-10-16,B,10,5157699
2021-10-16,C,5,648493
2021-10-23,A,15,19867248
2021-10-23,B,11,5157699
2021-10-23,C,5,648493
2021-10-30,A,18,19867248
2021-10-30,B,17,5157699
2021-10-30,C,5,648493
2021-11-06,A,22,19867248
2021-11-06,B,14,5157699
2021-11-06,C,5,648493
2021-11-13,A,21,19867248
2021-11-13,B,20,5157699
2021-11-13,C,5,648493
2021-11-20,A,28,19867248
2021-11-20,B,21,5157699
2021-11-20,C,5,648493
2021-11-27,A,29,19867248
2021-11-27,B,15,5157699
2021-11-27,C,5,648493
2021-12-04,A,46,19867248
2021-12-04,B,26,5157699
2021-12-04,C,6,648493
2021-12-11,A,84,19867248
2021-12-11,B,22,5157699
2021-12-11,C,5,648493
2021-12-18,A,87,19867248
2021-12-18,B,27,5157699
2021-12-18,C,5,648493
2021-12-25,A,66,19867248
2021-12-25,B,21,5157699
2021-12-25,C,5,648493
2022-01-01,A,74,19867248
2022-01-01,B,74,5157699
2022-01-01,C,6,648493
2022-01-08,A,34,19867248
2022-01-08,B,37,5157699
2022-01-08,C,5,648493
2022-01-15,A,47,19867248
2022-01-15,B,20,5157699
2022-01-15,C,6,648493
2022-01-22,A,32,19867248
2022-01-22,B,23,5157699
2022-01-22,C,5,648493
2022-01-29,A,23,19867248
2022-01-29,B,46,5157699
2022-01-29,C,5,648493
2022-02-05,A,20,19867248
2022-02-05,B,10,5157699
2022-02-05,C,5,648493
2022-02-12,A,28,19867248
2022-02-12,B,13,5157699
2022-02-12,C,5,648493
2022-02-19,A,44,19867248
2022-02-19,B,26,5157699
2022-02-19,C,5,648493
2022-02-26,A,34,19867248
2022-02-26,B,15,5157699
2022-02-26,C,6,648493
2022-03-05,A,62,19867248
2022-03-05,B,25,5157699
2022-03-05,C,5,648493
2022-03-12,A,56,19867248
2022-03-12,B,40,5157699
2022-03-12,C,5,648493
2022-03-19,A,89,19867248
2022-03-19,B,28,5157699
2022-03-19,C,5,648493
2022-03-26,A,90,19867248
2022-03-26,B,22,5157699
2022-03-26,C,13,648493
2022-04-02,A,168,19867248
2022-04-02,B,30,5157699
2022-04-02,C,14,648493
2022-04-09,A,200,19867248
2022-04-09,B,26,5157699
2022-04-09,C,19,648493
2022-04-16,A,231,19867248
2022-04-16,B,16,5157699
2022-04-16,C,17,648493
2022-04-23,A,280,19867248
2022-04-23,B,30,5157699
2022-04-23,C,17,648493
2022-04-30,A,276,19867248
2022-04-30,B,13,5157699
2022-04-30,C,11,648493
2022-05-07,A,236,19867248
2022-05-07,B,24,5157699
2022-05-07,C,12,648493
2022-05-14,A,193,19867248
2022-05-14,B,17,5157699
2022-05-14,C,8,648493
2022-05-21,A,187,19867248
2022-05-21,B,20,5157699
2022-05-21,C,5,648493
2022-05-28,A,160,19867248
2022-05-28,B,18,5157699
2022-05-28,C,7,648493
2022-06-04,A,129,19867248
2022-06-04,B,18,5157699
2022-06-04,C,5,648493
2022-06-11,A,108,19867248
2022-06-11,B,20,5157699
2022-06-11,C,10,648493
2022-06-18,A,97,19867248
2022-06-18,B,20,5157699
2022-06-18,C,7,648493
2022-06-25,A,70,19867248
2022-06-25,B,12,5157699
2022-06-25,C,5,648493
2022-07-02,A,50,19867248
2022-07-02,B,13,5157699
2022-07-02,C,8,648493
2022-07-09,A,41,19867248
2022-07-09,B,20,5157699
2022-07-09,C,6,648493
2022-07-16,A,43,19867248
2022-07-16,B,38,5157699
2022-07-16,C,6,648493
2022-07-23,A,15,19867248
2022-07-23,B,10,5157699
2022-07-23,C,5,648493
2022-07-30,A,22,19867248
2022-07-30,B,14,5157699
2022-07-30,C,5,648493
2022-08-06,A,16,19867248
2022-08-06,B,14,5157699
2022-08-06,C,5,648493
2022-08-13,A,16,19867248
2022-08-13,B,12,5157699
2022-08-13,C,5,648493
2022-08-20,A,21,19867248
2022-08-20,B,10,5157699
2022-08-20,C,5,648493
2022-08-27,A,29,19867248
2022-08-27,B,15,5157699
2022-08-27,C,5,648493
2022-09-03,A,28,19867248
2022-09-03,B,18,5157699
2022-09-03,C,6,648493
2022-09-10,A,20,19867248
2022-09-10,B,17,5157699
2022-09-10,C,5,648493
2022-09-17,A,25,19867248
2022-09-17,B,27,5157699
2022-09-17,C,5,648493
2022-09-24,A,26,19867248
2022-09-24,B,24,5157699
2022-09-24,C,5,648493
2022-10-01,A,33,19867248
2022-10-01,B,33,5157699
2022-10-01,C,5,648493
2022-10-08,A,43,19867248
2022-10-08,B,47,5157699
2022-10-08,C,6,648493
2022-10-15,A,53,19867248
2022-10-15,B,92,5157699
2022-10-15,C,5,648493
2022-10-22,A,46,19867248
2022-10-22,B,145,5157699
2022-10-22,C,5,648493
2022-10-29,A,110,19867248
2022-10-29,B,273,5157699
2022-10-29,C,6,648493
2022-11-05,A,194,19867248
2022-11-05,B,404,5157699
2022-11-05,C,5,648493
2022-11-12,A,273,19867248
2022-11-12,B,353,5157699
2022-11-12,C,6,648493
2022-11-19,A,471,19867248
2022-11-19,B,263,5157699
2022-11-19,C,7,648493
2022-11-26,A,770,19867248
2022-11-26,B,273,5157699
2022-11-26,C,18,648493
2022-12-03,A,1313,19867248
2022-12-03,B,422,5157699
2022-12-03,C,36,648493
2022-12-10,A,1474,19867248
2022-12-10,B,258,5157699
2022-12-10,C,50,648493
2022-12-17,A,1703,19867248
2022-12-17,B,179,5157699
2022-12-17,C,61,648493
2022-12-24,A,1508,19867248
2022-12-24,B,156,5157699
2022-12-24,C,69,648493
2022-12-31,A,1296,19867248
2022-12-31,B,152,5157699
2022-12-31,C,86,648493
2023-01-07,A,949,19867248
2023-01-07,B,128,5157699
2023-01-07,C,56,648493
2023-01-14,A,518,19867248
2023-01-14,B,104,5157699
2023-01-14,C,17,648493
2023-01-21,A,314,19867248
2023-01-21,B,62,5157699
2023-01-21,C,15,648493
2023-01-28,A,241,19867248
2023-01-28,B,47,5157699
2023-01-28,C,10,648493
2023-02-04,A,150,19867248
2023-02-04,B,40,5157699
2023-02-04,C,8,648493
2023-02-11,A,108,19867248
2023-02-11,B,34,5157699
2023-02-11,C,5,648493
2023-02-18,A,90,19867248
2023-02-18,B,35,5157699
2023-02-18,C,7,648493
2023-02-25,A,60,19867248
2023-02-25,B,34,5157699
2023-02-25,C,7,648493
2023-03-04,A,54,19867248
2023-03-04,B,20,5157699
2023-03-04,C,6,648493
2023-03-11,A,60,19867248
2023-03-11,B,22,5157699
2023-03-11,C,10,648493
2023-03-18,A,68,19867248
2023-03-18,B,27,5157699
2023-03-18,C,7,648493
2023-03-25,A,110,19867248
2023-03-25,B,24,5157699
2023-03-25,C,9,648493
2023-04-01,A,79,19867248
2023-04-01,B,32,5157699
2023-04-01,C,5,648493
2023-04-08,A,83,19867248
2023-04-08,B,22,5157699
2023-04-08,C,5,648493
2023-04-15,A,80,19867248
2023-04-15,B,21,5157699
2023-04-15,C,6,648493
2023-04-22,A,52,19867248
2023-04-22,B,25,5157699
2023-04-22,C,5,648493
2023-04-29,A,42,19867248
2023-04-29,B,16,5157699
2023-04-29,C,7,648493
2023-05-06,A,55,19867248
2023-05-06,B,9,5157699
2023-05-06,C,5,648493
2023-05-13,A,59,19867248
2023-05-13,B,19,5157699
2023-05-13,C,5,648493
2023-05-20,A,55,19867248
2023-05-20,B,15,5157699
2023-05-20,C,7,648493
2023-05-27,A,65,19867248
2023-05-27,B,16,5157699
2023-05-27,C,5,648493
2023-06-03,A,51,19867248
2023-06-03,B,30,5157699
2023-06-03,C,5,648493
2023-06-10,A,44,19867248
2023-06-10,B,19,5157699
2023-06-10,C,5,648493
2023-06-17,A,42,19867248
2023-06-17,B,10,5157699
2023-06-17,C,5,648493
2023-06-24,A,41,19867248
2023-06-24,B,16,5157699
2023-06-24,C,5,648493
2023-07-01,A,34,19867248
2023-07-01,B,16,5157699
2023-07-01,C,6,648493
2023-07-08,A,28,19867248
2023-07-08,B,8,5157699
2023-07-08,C,5,648493
2023-07-15,A,22,19867248
2023-07-15,B,19,5157699
2023-07-15,C,5,648493
2023-07-22,A,33,19867248
2023-07-22,B,20,5157699
2023-07-22,C,5,648493
2023-07-29,A,23,19867248
2023-07-29,B,35,5157699
2023-07-29,C,5,648493
2023-08-05,A,35,19867248
2023-08-05,B,18,5157699
2023-08-05,C,5,648493
2023-08-12,A,24,19867248
2023-08-12,B,14,5157699
2023-08-12,C,5,648493
2023-08-19,A,20,19867248
2023-08-19,B,12,5157699
2023-08-19,C,5,648493
2023-08-26,A,25,19867248
2023-08-26,B,17,5157699
2023-08-26,C,5,648493
2023-09-02,A,43,19867248
2023-09-02,B,17,5157699
2023-09-02,C,5,648493
2023-09-09,A,26,19867248
2023-09-09,B,10,5157699
2023-09-09,C,6,648493
2023-09-16,A,17,19867248
2023-09-16,B,25,5157699
2023-09-16,C,5,648493
2023-09-23,A,23,19867248
2023-09-23,B,13,5157699
2023-09-23,C,6,648493
2023-09-30,A,52,19867248
2023-09-30,B,24,5157699
2023-09-30,C,6,648493
2023-10-07,A,42,19867248
2023-10-07,B,24,5157699
2023-10-07,C,5,648493
2023-10-14,A,31,19867248
2023-10-14,B,29,5157699
2023-10-14,C,5,648493
2023-10-21,A,38,19867248
2023-10-21,B,35,5157699
2023-10-21,C,7,648493
2023-10-28,A,52,19867248
2023-10-28,B,35,5157699
2023-10-28,C,5,648493
2023-11-04,A,61,19867248
2023-11-04,B,42,5157699
2023-11-04,C,5,648493
2023-11-11,A,93,19867248
2023-11-11,B,61,5157699
2023-11-11,C,7,648493
2023-11-18,A,128,19867248
2023-11-18,B,78,5157699
2023-11-18,C,10,648493
2023-11-25,A,181,19867248
2023-11-25,B,76,5157699
2023-11-25,C,8,648493
2023-12-02,A,343,19867248
